window_20_markings_1,window_None_markings_1
"['0', '1', '21', '10', '11', '14', '16', '17', '18', '19', '22', '24', '25', '26', '27', '3', '4', '7']","['0', '1', '21', '10', '11', '14', '16', '17', '18', '19', '22', '24', '25', '26', '27', '3', '4', '7']"
"[0.0016599300000000002, 0.0016599300000000002, 0.0016599300000000002, 0.0013984100000000008, 0.0013984100000000008, 0.001247970000000001, 0.001247970000000001, 0.0007255200000000008, 0.0007255200000000008, 0.0007255200000000008, 0.0009528200000000014, 0.0009528200000000014, 0.0009528200000000014, 0.002029660000000001, 0.002029660000000001, 0.002029660000000001, 0.001190440000000001, 0.001190440000000001]","[0.0016599299999999406, 0.0016599299999999406, 0.0016599299999999406, 0.0013984099999999782, 0.0013984099999999782, 0.0012479700000000008, 0.0012479700000000008, 0.0007255200000000206, 0.0007255200000000206, 0.0007255200000000206, 0.0009528200000000378, 0.0009528200000000378, 0.0009528200000000378, 0.0020296599999999037, 0.0020296599999999037, 0.0020296599999999037, 0.0011904400000000094, 0.0011904400000000094]"
"[1.1750359535217285, 1.1750359535217285, 1.1750359535217285, 0.9879240989685059, 0.9879240989685059, 0.7512228488922119, 0.7512228488922119, 0.4606504440307617, 0.4606504440307617, 0.4606504440307617, 0.7804179191589355, 0.7804179191589355, 0.7804179191589355, 1.1835815906524658, 1.1835815906524658, 1.1835815906524658, 0.9022724628448486, 0.9022724628448486]","[22.028452396392822, 22.028452396392822, 22.028452396392822, 16.49414324760437, 16.49414324760437, 13.018226861953735, 13.018226861953735, 4.482475757598877, 4.482475757598877, 4.482475757598877, 7.6383538246154785, 7.6383538246154785, 7.6383538246154785, 30.639694452285767, 30.639694452285767, 30.639694452285767, 12.276010751724243, 12.276010751724243]"
"[11064, 11064, 11064, 9488, 9488, 8101, 8101, 5053, 5053, 5053, 6450, 6450, 6450, 12911, 12911, 12911, 8395, 8395]","[11444, 11444, 11444, 9825, 9825, 8332, 8332, 5241, 5241, 5241, 6694, 6694, 6694, 13290, 13290, 13290, 8691, 8691]"
