n_train_variants,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50
1,0.3,unigram_super_heavy,49.77407526669506,46.64724428104763,55.35823637477036,48.1322718922229,33.557868952847514,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
5,0.3,unigram_super_heavy,86.35449235318355,80.40023970265676,86.41618497109826,84.97109826589595,78.03468208092487,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
10,0.3,unigram_super_heavy,86.39223303660154,80.26994591250697,86.26320845341017,84.82228626320844,77.71373679154658,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
20,0.3,unigram_super_heavy,86.40296662546353,80.26994591250697,86.26320845341017,84.82228626320844,77.80979827089337,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
30,0.3,unigram_super_heavy,86.41681641754353,80.19099854408593,86.22179548727796,84.78156505040806,77.67642822851657,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
40,0.3,unigram_super_heavy,86.41612392793954,80.26994591250697,86.26320845341017,84.82228626320844,77.71373679154658,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
50,0.3,unigram_super_heavy,86.41577768313753,80.31080612756074,86.30466122056703,84.86304661220566,77.75108121095627,86.46078950739752,78.60911668743171,84.77133427628478,83.26261197548325,76.3790664780764
