n_train_variants,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50
1,0.95,trigram_heavy,72.81985588470776,81.25130840480799,85.41666666666667,83.90151515151516,69.31818181818181,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
5,0.95,trigram_heavy,76.5412329863891,82.48081331612693,87.17948717948718,85.66001899335232,71.41500474833808,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
10,0.95,trigram_heavy,76.52522017614092,82.30224188755548,87.53568030447192,86.01332064700286,71.55090390104661,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
15,0.95,trigram_heavy,76.55404323458767,82.42928875373278,87.61904761904763,86.0952380952381,72.0,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
20,0.95,trigram_heavy,76.58606885508406,82.42928875373278,87.61904761904763,86.28571428571428,72.19047619047619,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
28,0.95,trigram_heavy,76.57646116893515,82.42928875373278,87.61904761904763,86.28571428571428,72.19047619047619,76.74619695756606,81.55623238605413,86.88372093023256,84.46511627906978,71.06976744186048
