n_train_variants,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50
1,0.95,trigram_heavy,74.88230584467574,81.64315708959711,87.34995383194828,84.76454293628808,76.269621421976,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
5,0.95,trigram_heavy,78.96877502001601,84.51361180176944,89.82259570494864,87.95518207282915,78.61811391223156,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
10,0.95,trigram_heavy,79.35948759007206,85.09113447750642,90.36482694106641,88.68101028999065,78.95229186155285,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
15,0.95,trigram_heavy,79.40432345876701,84.93103595533891,90.4494382022472,88.76404494382022,79.2134831460674,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
20,0.95,trigram_heavy,79.40112089671737,84.93103595533891,90.4494382022472,88.76404494382022,79.02621722846442,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
28,0.95,trigram_heavy,79.43955164131305,84.93103595533891,90.4494382022472,88.76404494382022,79.2134831460674,79.43634907926341,84.74217642742714,88.9908256880734,87.3394495412844,78.89908256880734
