n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
28,28,28,0.95,trigram_heavy,79.43955164131306,79.03386350626877,82.25695887283341,76.92272052772974,62.34418581615703,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,649.15,23.184,6.0
28,28,28,0.95,balanced,79.43634907926341,79.03386350626877,82.25695887283341,76.92272052772974,62.34418581615703,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,669.21,23.901,6.333333333333333
28,28,28,0.95,bigram_heavy,79.42674139311448,79.03386350626877,82.25695887283341,76.92272052772974,62.34418581615703,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,660.3,23.582,6.666666666666667
28,28,28,0.9,trigram_heavy,79.42353883106486,79.01341895457423,82.35276774432722,77.00736625816803,62.41223244119974,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,641.75,22.92,6.833333333333333
28,28,28,0.95,unigram_super_heavy,79.42353883106486,79.03386350626877,82.25695887283341,76.92272052772974,62.34418581615703,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,705.06,25.181,7.166666666666667
28,28,28,0.9,balanced,79.38190552441954,78.92225636341163,82.0406565048917,76.96523753453245,62.379616655159296,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,687.95,24.57,8.0
28,28,28,0.9,bigram_heavy,79.36589271417134,78.75403690171389,81.75597741586479,77.03079999139926,62.197348095561544,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,666.1,23.789,8.0
28,28,28,0.9,unigram_super_heavy,79.34027221777423,79.03386350626877,82.10814934902388,76.92272052772974,62.34418581615703,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,751.78,26.849,8.333333333333334
28,28,28,0.7,balanced,79.3146517213771,78.5377872057056,81.91311952805736,77.22345167886688,62.77780050847827,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,767.65,27.416,8.333333333333334
28,28,28,0.7,bigram_heavy,79.30504403522818,77.97308405171673,81.84958414554157,77.15631606593634,62.74830470661034,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,740.21,26.436,10.166666666666666
28,28,28,0.7,trigram_heavy,79.30504403522818,78.73541566420363,81.91767119357114,77.06944097651596,62.41666902898722,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,685.53,24.483,9.166666666666666
28,28,28,0.7,unigram_super_heavy,79.29223378702962,78.32133698925539,82.08425048043831,77.50618977410498,63.19258494941933,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,977.45,34.909,8.333333333333334
28,28,28,0.5,trigram_heavy,79.17053642914331,77.787884598029,82.11815523636203,77.25459861593414,63.0404974132378,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,668.0,23.857,11.0
28,28,28,0.5,balanced,79.08406725380304,77.92875307356566,82.19850172934648,77.59435037843548,63.0186586209084,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,860.93,30.747,9.666666666666666
28,28,28,0.5,bigram_heavy,79.0648518815052,77.19209451292845,81.9046386050018,77.33779789139886,62.69207205195958,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,768.45,27.445,11.666666666666666
28,28,28,0.5,unigram_super_heavy,79.01040832666133,78.25690362007413,82.3967593507136,77.43090940230036,63.50890763945489,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,1127.1,40.253,10.333333333333334
28,28,28,0.3,trigram_heavy,78.79903923138511,76.77959398148855,81.04507974976782,76.67100871297247,62.174360940345835,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,682.77,24.385,17.666666666666668
28,28,28,0.3,balanced,78.51080864691752,76.17433383312081,81.06635188942019,76.75034043421654,62.59155953083199,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,955.9,34.139,18.0
28,28,28,0.3,unigram_super_heavy,78.37630104083266,76.82303959877098,81.0390369117823,76.44525813217807,61.189200373560936,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,1233.51,44.054,18.333333333333332
28,28,28,0.3,bigram_heavy,78.32826261008807,75.44149599840145,80.53237180974621,76.19721706168028,61.58582194156809,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,822.24,29.366,20.0
28,28,28,0.1,trigram_heavy,75.50360288230584,74.59653754891873,78.35462624000097,73.99859534112217,56.41873660279489,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,622.24,22.223,21.0
28,28,28,0.1,bigram_heavy,75.28903122497998,72.69071331952415,76.39153222542998,72.23113210628335,54.20944745792223,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,784.89,28.032,25.333333333333332
28,28,28,0.1,unigram_super_heavy,75.24419535628503,73.75945597213182,77.56021911192609,73.44416471551263,55.25617532168048,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,1282.93,45.819,23.333333333333332
28,28,28,0.05,unigram_super_heavy,74.91753402722178,73.65314805041241,77.02011642719185,73.07718132694495,53.4844918375649,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,1336.07,47.717,24.333333333333332
28,28,28,0.05,bigram_heavy,74.88550840672538,73.14963329742632,75.67900114252583,71.85929801405727,52.6661425378885,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,776.96,27.749,26.333333333333332
28,28,28,0.05,trigram_heavy,74.68694955964772,73.99756276202477,77.53851282409165,73.44929222616265,53.96239102249971,79.43634907926341,79.44803556292922,80.7478849449304,74.6498121992466,60.672961961571566,609.38,21.764,23.333333333333332
