n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
50,50,all,0.9,trigram_heavy,78.48781045174559,71.61042173797163,79.2507204610951,77.04130643611911,66.18635926993277,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,4.0
50,50,all,0.7,trigram_heavy,78.4659970292196,71.85144930689394,79.21267402784446,76.9083053288526,66.05856937109937,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,4.0
50,50,all,0.9,unigram_super_heavy,78.4632270708036,71.65312181650381,79.32692307692308,77.01923076923076,66.34615384615384,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,4.666666666666667
50,50,all,0.5,trigram_heavy,78.43137254901961,71.60958496433994,79.17466410748561,76.87140115163149,65.93090211132437,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,7.0
50,50,all,0.3,trigram_heavy,78.38497574555161,72.29215596655112,79.55747955747955,77.05627705627705,65.7046657046657,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,3.3333333333333335
50,50,all,0.5,unigram_super_heavy,78.24370786633565,71.75171830773188,79.30702598652552,76.51588065447547,66.31376323387872,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,7.666666666666667
50,50,all,0.1,trigram_heavy,78.24059166311766,72.49801834636601,79.74987974987975,76.76767676767676,65.22366522366522,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,5.666666666666667
50,50,all,0.1,unigram_super_heavy,78.22362566781966,72.57522825739743,79.70944309927361,76.99757869249395,66.24697336561744,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,4.333333333333333
50,50,all,0.3,unigram_super_heavy,78.19211739083767,72.33330121757565,79.42028985507245,76.90821256038647,66.28019323671498,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,6.0
50,50,all,0.7,unigram_super_heavy,78.18380751558968,71.83109283099657,79.44150216658642,76.55272026961964,66.24939817043813,78.4507622579316,68.17355314375955,73.89951089373056,70.87594486438417,61.00489106269453,,,8.333333333333334
