n_train_variants,n_train_traces,n_test_cases,alpha,strategy,sktr_acc,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,total_time_sec,avg_time_per_trace_sec,avg_rank
50,50,50,0.7,bigram_heavy,86.4687531378435,80.05467036575395,86.03440696696426,84.53326691080849,77.51120295941394,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,24233.24,484.665,17.666666666666668
50,50,50,0.5,trigram_heavy,86.46806064823951,80.12581661081325,86.1259284536077,84.71569748836102,77.49772131910302,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,17027.22,340.544,10.666666666666666
50,50,50,0.5,bigram_heavy,86.46390571061552,80.20806769306434,86.17022524209052,84.75999427684387,77.44456517292363,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,22522.04,450.441,7.666666666666667
50,50,all,0.3,balanced,86.44486224650552,80.12282362678579,86.30353855227709,84.76612546772633,77.57940583632741,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,9.666666666666666
50,50,50,0.7,unigram_super_heavy,86.43447490244553,80.2227656038492,85.99356125107106,84.50511960761372,77.50013489455552,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,27506.05,550.121,14.0
50,50,all,0.3,bigram_heavy,86.42478004798953,80.05167738172649,86.26313451187306,84.72572142732228,77.54506240198398,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,15.166666666666666
50,50,50,0.9,unigram_super_heavy,86.42270257917754,80.02301567489211,86.02082427250019,84.53238262904284,77.52411491438318,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,29234.5,584.69,21.0
50,50,50,0.5,unigram_super_heavy,86.41681641754353,80.41802252084524,86.227010728423,84.59048920785352,77.60256498479049,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,56473.04,1129.461,12.666666666666666
50,50,all,0.3,unigram_super_heavy,86.41577768313753,80.22303941089646,86.3763450571526,84.83073262749221,77.51383008049281,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,7.333333333333333
50,50,all,0.3,trigram_heavy,86.40850654229554,80.16715860215524,86.33499091120402,84.79572768789284,77.29569909157674,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,9.666666666666666
50,50,all,0.1,unigram_super_heavy,86.36453345244155,80.12870443552701,86.30830733237202,84.76454504147205,77.66105246221682,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,11.666666666666666
50,50,all,0.05,unigram_super_heavy,86.34652872273755,80.16517159155939,86.27679727187727,84.7330349809773,77.63826621713902,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,12.0
50,50,all,0.1,balanced,86.33510264427156,80.05167738172649,86.26207513764295,84.72466205309217,77.51608250255931,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,17.833333333333332
50,50,all,0.05,balanced,86.30809554971556,79.90589345550778,86.13604561161343,84.59863252706265,77.48526036960953,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,22.333333333333332
50,50,all,0.1,bigram_heavy,86.27866474154557,79.82759130446438,86.24228876587031,84.51663840354038,77.30039003594624,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,24.666666666666668
50,50,all,0.1,trigram_heavy,86.24092405812758,80.07347439162892,86.38167109374712,84.65033083099048,77.51178618883567,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,20.666666666666668
50,50,all,0.05,bigram_heavy,86.23607663089959,79.41103709843648,86.00953653311807,84.28724751532599,77.18478520269434,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,27.0
50,50,all,0.05,trigram_heavy,86.17548379054959,79.33153642367265,85.93536737185339,84.20738845363456,77.10502104677076,86.46078950739752,78.20560744681553,84.87976900093864,83.29423504517158,76.21104052756529,,,28.0
