dataset_name,n_train_traces,kari_acc_micro,kari_edit,kari_f1@10,kari_f1@25,kari_f1@50
50salads,1,62.4821293415188,41.446640316205524,55.86142574881863,54.661813345717874,45.24512240546512
50salads,2,66.51627281136994,57.023340102804866,63.85677994190418,61.600657017912,50.94923173733651
50salads,3,60.44151038600623,50.02225033009795,62.7560922010519,59.29221624264726,48.938999507194374
50salads,4,58.69439071566731,46.70215895215896,59.30765905547828,55.71279687579563,43.72984121823971
50salads,5,62.02337902615424,42.45970005395063,56.944826991430205,53.516454994641904,43.31458196823611
50salads,6,60.80607181902279,43.14988166139062,56.767617461274426,51.75594675032071,41.09270103980874
50salads,7,63.37187789084181,44.42382539313487,57.471648404229065,53.41487844589757,42.09261273480165
50salads,8,61.542763434530315,43.88029998635396,55.511112597258396,51.61194695215024,41.006228065498576
50salads,9,61.19838533344546,42.50760320270433,54.696279743874584,50.48536429639998,41.37530387840046
50salads,10,61.45067698259188,46.25890271990017,58.194356179588326,54.64671843715091,41.734885912193384
