dataset_name,n_train_traces,kari_acc_micro,kari_edit,kari_f1@10,kari_f1@25,kari_f1@50
gtea,1,49.59385290889133,47.89885962966423,49.0915753567446,42.34795500513191,32.79777745589366
gtea,2,57.310647639956095,53.17819814806167,55.52686272844238,47.78410440174991,35.508546493063406
gtea,3,57.58232711306257,53.20642961763427,55.026456922667634,47.580618956769136,36.368294737193104
gtea,4,56.506586169045,52.32191017139122,54.26115748246581,46.43280457077175,34.72666947505677
gtea,5,53.002195389681674,52.146415631469985,51.04459612387092,43.24644783175815,31.871407498903164
gtea,6,53.73216245883644,50.868142370778045,50.94590882223675,43.66533591618032,31.967944563788812
gtea,7,55.26344676180022,49.48839084642248,50.01546896409851,43.212599776043376,32.706713297455295
