dataset_name,conditioning_alpha,interpolation_weights_strategy,interpolation_weights,sktr_acc_micro,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc_micro,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,results_csv_path
gtea,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",73.13940724478594,74.72774212139609,78.2201289637686,72.75672567958604,54.59331901426217,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv
gtea,0.05,unigram_heavy,"[0.6, 0.25, 0.15]",73.34248079034028,74.68815200998922,78.35490866696922,72.60123160275398,55.370887122411695,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.05_weights_unigram_heavy.csv
gtea,0.05,balanced,"[0.4, 0.35, 0.25]",73.5318331503842,74.0670629643231,77.58468954397357,71.02009426534944,54.91974136650184,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.05_weights_balanced.csv
gtea,0.05,trigram_heavy,"[0.15, 0.25, 0.6]",73.5318331503842,74.33740013038506,77.3013248427395,70.82021395385581,56.47856456308682,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.05_weights_trigram_heavy.csv
gtea,0.1,unigram_super_heavy,"[0.75, 0.15, 0.1]",73.54281009879253,74.66392089398039,78.24427948763845,73.10547713822197,56.12163142914927,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.1_weights_unigram_super_heavy.csv
gtea,0.1,unigram_heavy,"[0.6, 0.25, 0.15]",73.80351262349068,74.61729033198468,78.3620356065392,73.30511770530465,56.92894032471221,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.1_weights_unigram_heavy.csv
gtea,0.1,balanced,"[0.4, 0.35, 0.25]",73.7788144895719,74.03694675117117,77.55751276875732,71.62789269625357,56.599209810367505,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.1_weights_balanced.csv
gtea,0.1,trigram_heavy,"[0.15, 0.25, 0.6]",74.18221734357849,74.40143752070352,77.27783074192078,70.68479368330283,57.58377717483115,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.1_weights_trigram_heavy.csv
gtea,0.2,unigram_super_heavy,"[0.75, 0.15, 0.1]",75.14544456641053,75.25999433127387,79.58726264990199,74.18093987460739,59.020092942368414,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.2_weights_unigram_super_heavy.csv
gtea,0.2,unigram_heavy,"[0.6, 0.25, 0.15]",75.29637760702525,75.19940759658,79.64711138063726,73.98175744715138,59.07086360052223,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.2_weights_unigram_heavy.csv
gtea,0.2,balanced,"[0.4, 0.35, 0.25]",75.32107574094402,74.98174672325808,78.98115375010579,72.5836616426781,58.5042124185531,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.2_weights_balanced.csv
gtea,0.2,trigram_heavy,"[0.15, 0.25, 0.6]",75.83424807903403,75.12771694145535,79.1572964900154,72.78819491123299,59.026195035972556,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.2_weights_trigram_heavy.csv
gtea,0.3,unigram_super_heavy,"[0.75, 0.15, 0.1]",76.1251372118551,76.44325845413401,80.26018305849695,75.02292818529611,60.161926634654684,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.3_weights_unigram_super_heavy.csv
gtea,0.3,unigram_heavy,"[0.6, 0.25, 0.15]",76.15532381997805,76.37478450658398,80.03616952544796,74.51529874543687,59.93201555011198,78.53457738748628,66.92451391482122,74.4761870037994,68.08161949837827,53.57088230118719,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/gtea/gtea_hyperparam_search_alpha_0.3_weights_unigram_heavy.csv
