dataset_name,n_train_traces,conditioning_alpha,interpolation_weights_strategy,interpolation_weights,sktr_acc_micro,sktr_edit,sktr_f1@10,sktr_f1@25,sktr_f1@50,argmax_acc_micro,argmax_edit,argmax_f1@10,argmax_f1@25,argmax_f1@50,results_csv_path,kari_acc_micro,kari_edit,kari_f1@10,kari_f1@25,kari_f1@50
50salads,1,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",48.47405600874611,42.86726592270744,52.61571320413866,45.70219882992448,39.30661336588061,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_1_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,62.4821293415188,41.446640316205524,55.86142574881863,54.661813345717874,45.24512240546512
50salads,2,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",79.32511983853334,72.41721329727947,80.05555490898277,76.78746622373959,69.3932761708868,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_2_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,66.51627281136994,57.023340102804866,63.85677994190418,61.600657017912,50.94923173733651
50salads,3,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",79.38020351526364,72.10654778460159,79.67998528742723,76.67248015275814,68.9166053282506,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_3_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,60.44151038600623,50.02225033009795,62.7560922010519,59.29221624264726,48.938999507194374
50salads,4,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",78.83525355310739,72.31379984622033,79.88435718276548,76.9212127331222,68.81079833969191,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_4_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,58.69439071566731,46.70215895215896,59.30765905547828,55.71279687579563,43.72984121823971
50salads,5,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",82.14574047599025,72.10389595823652,80.30930282179375,78.90313446843584,69.72175617419968,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_5_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,62.02337902615424,42.45970005395063,56.944826991430205,53.516454994641904,43.31458196823611
50salads,6,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",82.31099150618114,73.30876636860683,80.96230904013082,79.53554748581377,70.29706488624397,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_6_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,60.80607181902279,43.14988166139062,56.767617461274426,51.75594675032071,41.09270103980874
50salads,7,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",82.30174081237911,73.19566670981855,81.25984640658089,79.53518353081543,70.58754978695806,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_7_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,63.37187789084181,44.42382539313487,57.471648404229065,53.41487844589757,42.09261273480165
50salads,8,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",82.24119081658398,73.68648824526251,81.37709439851771,79.87042137616565,70.59829882458223,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_8_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,61.542763434530315,43.88029998635396,55.511112597258396,51.61194695215024,41.006228065498576
50salads,9,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",,,,,,,,,,,,61.19838533344546,42.50760320270433,54.696279743874584,50.48536429639998,41.37530387840046
50salads,10,0.05,unigram_super_heavy,"[0.75, 0.15, 0.1]",82.16886721049534,72.09878565606125,80.57052615232456,78.94220695466825,69.85609408282166,82.20082415272054,55.90137497757581,65.66869408771511,64.2182122003797,56.70088155554943,/home/dsi/eli-bogdanov/sktr_for_long_traces/results/50salads/50salads_train_10_hyperparam_search_alpha_0.05_weights_unigram_super_heavy.csv,61.45067698259188,46.25890271990017,58.194356179588326,54.64671843715091,41.734885912193384
